id,department,title,value,change,changeType,status,description,icon,chartType,trendData,comments,roles
tst-5,Testing,Automation Success Rate,96.5%,-2%,decrease,at-risk,Nightly builds,Repeat,line,"[{""month"":""Jan"",""value"":98.5},{""month"":""Feb"",""value"":98.2},{""month"":""Mar"",""value"":98.0},{""month"":""Apr"",""value"":97.5},{""month"":""May"",""value"":97.0},{""month"":""Jun"",""value"":96.5}]",[],"CEO,Manager"
ceo-1,CEO,Annual Recurring Revenue (ARR),$11.2M,+8.1%,increase,at-risk,vs. previous year,DollarSign,line,"[{""month"":""Jan"",""value"":8.2},{""month"":""Feb"",""value"":9.1},{""month"":""Mar"",""value"":10.5},{""month"":""Apr"",""value"":10.8},{""month"":""May"",""value"":11.0},{""month"":""Jun"",""value"":11.2}]","[{""id"":1,""author"":""Alex G."",""text"":""Growth is slowing"",""timestamp"":""3h ago"",""avatar"":""https://picsum.photos/seed/1/32/32""}]","CEO"
ceo-2,CEO,Customer Acquisition Cost (CAC),$295,+12.5%,increase,off-track,vs. previous quarter,Users,line,"[{""month"":""Jan"",""value"":240},{""month"":""Feb"",""value"":255},{""month"":""Mar"",""value"":265},{""month"":""Apr"",""value"":280},{""month"":""May"",""value"":290},{""month"":""Jun"",""value"":295}]","[{""id"":1,""author"":""Sarah K."",""text"":""This is alarming"",""timestamp"":""5h ago"",""avatar"":""https://picsum.photos/seed/2/32/32""}]","CEO"
ceo-3,CEO,Customer Lifetime Value (CLV),$4650,-3.1%,decrease,at-risk,vs. previous year,HeartHandshake,line,"[{""month"":""Jan"",""value"":4800},{""month"":""Feb"",""value"":4780},{""month"":""Mar"",""value"":4750},{""month"":""Apr"",""value"":4700},{""month"":""May"",""value"":4680},{""month"":""Jun"",""value"":4650}]",[],"CEO"
ceo-4,CEO,Market Share,25%,+3.0%,increase,on-track,vs. previous quarter,Briefcase,bar,"[{""month"":""Jan"",""value"":20},{""month"":""Feb"",""value"":21},{""month"":""Mar"",""value"":22},{""month"":""Apr"",""value"":23},{""month"":""May"",""value"":24},{""month"":""Jun"",""value"":25}]","[{""id"":1,""author"":""Alex G."",""text"":""Aggressive push paying off"",""timestamp"":""1d ago"",""avatar"":""https://picsum.photos/seed/1/32/32""}]","CEO"
mgr-1,Manager,Team Velocity,35 points,-15%,decrease,at-risk,vs. last sprint,Zap,bar,"[{""month"":""Sprint 1"",""value"":45},{""month"":""Sprint 2"",""value"":42},{""month"":""Sprint 3"",""value"":38},{""month"":""Sprint 4"",""value"":35}]","[{""id"":1,""author"":""You (Manager)"",""text"":""Need to discuss blockers"",""timestamp"":""2h ago"",""avatar"":""https://picsum.photos/seed/3/32/32""}]","Manager"
mgr-2,Manager,Average Ticket Resolution Time,3.1 hours,+24%,increase,off-track,vs. last month,Activity,line,"[{""month"":""Mar"",""value"":2.5},{""month"":""Apr"",""value"":2.8},{""month"":""May"",""value"":2.9},{""month"":""Jun"",""value"":3.1}]",[],"Manager"
mgr-3,Manager,Q3 Project Completion Rate,92%,+2%,increase,on-track,Target: 90%,Target,bar,"[{""month"":""Task 1"",""value"":100},{""month"":""Task 2"",""value"":95},{""month"":""Task 3"",""value"":88},{""month"":""Task 4"",""value"":91}]","[{""id"":1,""author"":""You (Manager)"",""text"":""Great turnaround"",""timestamp"":""1d ago"",""avatar"":""https://picsum.photos/seed/3/32/32""}]","Manager"
mgr-4,Manager,Team Member Churn,2%,-3%,decrease,on-track,vs. last quarter,Users,bar,"[{""month"":""Q1"",""value"":5},{""month"":""Q2"",""value"":4},{""month"":""Q3"",""value"":2}]",[],"Manager"
emp-1,Employee,Completed Tasks,18,-7,decrease,at-risk,This month,Target,bar,"[{""month"":""Week 1"",""value"":7},{""month"":""Week 2"",""value"":5},{""month"":""Week 3"",""value"":4},{""month"":""Week 4"",""value"":2}]","[{""id"":1,""author"":""Manager"",""text"":""Let's sync on workload"",""timestamp"":""1d ago"",""avatar"":""https://picsum.photos/seed/3/32/32""}]","Employee"
emp-2,Employee,Code Commits,135,+15%,increase,on-track,Last 30 days,TrendingUp,line,"[{""month"":""Week 1"",""value"":30},{""month"":""Week 2"",""value"":35},{""month"":""Week 3"",""value"":32},{""month"":""Week 4"",""value"":38}]",[],"Employee"
emp-3,Employee,Active Sales Leads,18,+3,increase,on-track,Target: 15,ShoppingCart,bar,"[{""month"":""Week 1"",""value"":12},{""month"":""Week 2"",""value"":14},{""month"":""Week 3"",""value"":16},{""month"":""Week 4"",""value"":18}]","[{""id"":1,""author"":""Manager"",""text"":""Fantastic work!"",""timestamp"":""2h ago"",""avatar"":""https://picsum.photos/seed/3/32/32""}]","Employee"
